playlist_id,playlist_name,playlist_genre,playlist_subgenre
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,pop,dance pop
37i9dQZF1DWZQaaqNMbbXa,Dance Pop,pop,dance pop
37i9dQZF1DX2ENAPP1Tyed,Dance Room,pop,dance pop
37i9dQZF1DWSJHnPb1f0X3,Cardio,pop,dance pop
37i9dQZF1DX6pH08wMhkaI,Dance Pop Hits,pop,dance pop
37i9dQZF1DX3PIAZMcbo2T,Pop Warmup 130 BPM,pop,dance pop
37i9dQZF1DXahYFr91pFvG,Dance Pop: Japan,pop,dance pop
37i9dQZF1DX4RDXswvP6Mj,K-Party Dance Mix,pop,dance pop
0B2HdP15IucgE0vk3sluJR,Dance Pop,pop,dance pop
4SdfG4cPG3skmTiQLozZGh,Dance Pop Tunes,pop,dance pop
6mXh8CUBMBsBUu88a4eAQV,Pop / Dance,pop,dance pop
2ji5tRQVfnhaX1w9FhmSzk,Todo Éxitos,pop,dance pop
50cXvxgMGrvoUeLhkzCyIO,90s Dance Hits,pop,dance pop
37i9dQZF1DWUUPO0Sbx2CM,Christian Dance Party,pop,dance pop
7eERKCkgNKCCx5GYdeMIZf,Pop Dance Hits,pop,dance pop
37i9dQZF1DXdOtZGKonFlM,Best of 2019 Dance Pop: Japan,pop,dance pop
37i9dQZF1DWTHM4kX49UKs,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop
3arpkhoRWXEYbdCpVAIrRR,TUNES DANCE AND POP,pop,dance pop
4QAzO1Z92yqqD6Mf3mOANu,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop
7316uT3vVzTidCI8cinBUv,ELETRIC POP & DANCE,pop,dance pop
46Cl6dmeiylK6TRGXr7hHe,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop
10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,pop,post-teen pop
7jQHOrErpLMStcUUSavQWR,Post teen pop,pop,post-teen pop
1y42gwI5cuwjBslPyQNfqb,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop
1YgWQAs1s77NzieIH4ARKn,Pop Punk | Post-Hardcore,pop,post-teen pop
222nc9tKxKhfZ2GBrOpwH3,Post pop teen,pop,post-teen pop
6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop,pop,post-teen pop
6IT8LGpwLw3Pt2XnVUBN7j,🤩🤪Post Teen Pop🤪🤩,pop,post-teen pop
6IErGHjBfhey8URq0mFnPi,Someone You Loved Lewis Capaldi (Pop Music Mix),pop,post-teen pop
6jAPdgY9XmxC9cgkXAVmVv,Dr. Q's Prescription Playlist💊,pop,post-teen pop
4gbXqmZDUFHqlaYjf4uVyS,a taste of the mainstream,pop,post-teen pop
2ltt5ouiEO301o2jbxn30d,post teen pop,pop,post-teen pop
1CMvQ4Yr5DlYvYzI0Vc2UE,BALLARE - رقص,pop,post-teen pop
2Aud8PXoTGcyY5esHu4Aaz,Post Teen Pop,pop,post-teen pop
45AKTTGQEfYgAyidW5hucn,post teen pop,pop,post-teen pop
6rjxP7GQKoqqgoakzxl3PY,post teen pop,pop,post-teen pop
6HprqD6WZMx5peClrxaprN,Post-Teen Pop,pop,post-teen pop
3kvwJXPULhSUalL6ykJbn5,post teen pop,pop,post-teen pop
2KyjkYsSsC1UR75b0m98vd,Post-teen pop,pop,post-teen pop
4TvZA7Pml7mHLgbwNomlnm,post-teen pop,pop,post-teen pop
2a5i2ZtEXGKwVGL16J8N0p,Electro Pop | Electropop,pop,electropop
7kyvBmlc1uSqsTL0EuNLrx,Electropop Hits  2017-2020,pop,electropop
4Bi8VLtaSu0JILliif8lH6,Electropop 2019,pop,electropop
2UsEj2GUukV0GLbsE3rldz,ELECTROPOP,pop,electropop
37i9dQZF1DWSOvcBNdfJ87,This Is: Javiera Mena,pop,electropop
4frhr6RQM2fMOm2mpvOVo6,ElectroPop 2020,pop,electropop
5TiiHps0hNCyQ6ijVkNZQs,Electropop - Pop,pop,electropop
37i9dQZF1DWVT93EW7kPT9,This Is Janelle Monáe,pop,electropop
44p8nNLe4fGfUeArS3MaIX,ELECTROPOP🐹,pop,electropop
3FBD3d5zl74LaoBMVC4IXq,Electropop 80/90s,pop,electropop
2Z5cPJ6Z4EVZAfF08amjvL,Electropop,pop,electropop
7p30DzTAgW6OhspSXHTI88,Electropop And Play,pop,electropop
23swqzpOZwW1NhPiZ7iyFI,Mix ElectroPop//ElectroHouse// DeepHouse 2020,pop,electropop
3VfscqF7zq65IGKiYM3FS0,ELECTROPOP EN ESPAÑOL,pop,electropop
2nRWtTI9a2LWjJ9Wy3JZs5,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop
53CmFroG6MWR5reOOXJX6B,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop
65HtIbyFkaQPflCa4oW8KO,80's Songs | Top 💯 80s Music Hits,pop,electropop
31R7Gd07KsDafqJEeL4Hqr,GTA V - Radio Mirror Park,pop,electropop
0cuHKz65ZPqBX1brG8djlg,ElectroPop,pop,electropop
1kEczIkZH8IgaWT2BiApxZ,10er Playlist,pop,electropop
69yb02k0ZOmukYaxJXwp76,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism
4NlAd9NpIa92IjErMyAriM,Chillout & Remixes 💜,pop,indie poptimism
6lWMi4lPiiPwDqn8ZpeyAY,POPTIMISM,pop,indie poptimism
7nHgmv7uyIA1KHj6qTttjH,The Sound of Indie Poptimism,pop,indie poptimism
6OaTudLqBEuTyUMPxRNpZc,Indie/Jazz Poptimism,pop,indie poptimism
5vIdb67lQcdFwoVkE4UMep,The Edge of Indie Poptimism,pop,indie poptimism
16RNbqnNCCLlBJti7JU5nc,2019 in Indie Poptimism,pop,indie poptimism
1pZWCY50kMUhshcESknir8,Indie Poptimism,pop,indie poptimism
4ZO0wp9G8FA3X6oYNBzda6,A Loose Definition of Indie Poptimism,pop,indie poptimism
6Ylmweq4pT7j3ScIv5uq1c,Intro to Indie Poptimism,pop,indie poptimism
6MQeEHHDs6HQkN5Dlj3oKo,indie poptimism🕺🏻,pop,indie poptimism
5qFXOOxrQVyS4UCq3UilZN,The Pulse of Indie Poptimism,pop,indie poptimism
49qyKvg6UAQAvIMUIGMnP3,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism
7Ic1UwucK3ozdycPBIPVSR,Indie Poptimism,pop,indie poptimism
4hKPJNFIhdAg4pAksn78FJ,Indie Poptimism!,pop,indie poptimism
1E5VdGGWkpDQ682gdvJAZH,indie poptimism,pop,indie poptimism
2QiMewRbSavfZ9MSAYz2h6,Indie Poptimism,pop,indie poptimism
5jROYSZSL7cO0jGAqkPx7C,Music&Other Drugs,pop,indie poptimism
744VClUYfFnZCDPcOUkg5G,Deep-deep Bubble Pop,pop,indie poptimism
21nxmipQe5xtXoHHPaYfnY,Indie Poptimism,pop,indie poptimism
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,rap,hip hop
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,rap,hip hop
37i9dQZF1DXc8kgYqQLMfH,Lush Lofi,rap,hip hop
37i9dQZF1DX1ct2TQrAvRf,RAP 91,rap,hip hop
37i9dQZF1DWWQRwui0ExPn,Lo-Fi Beats,rap,hip hop
37i9dQZF1DWY6tYEFs22tT,Hip-Hop Central,rap,hip hop
37i9dQZF1DWXJnyndhASBe,Generacja Hip Hop,rap,hip hop
37i9dQZF1DWUFmyho2wkQU,Hip-Hop Drive,rap,hip hop
37i9dQZF1DWT5MrZnPU1zD,Hip Hop Controller,rap,hip hop
37i9dQZF1DX48TTZL62Yht,Hip-Hop Favourites,rap,hip hop
37i9dQZF1DX0sDai2F5jCQ,A1 Hip-Hop,rap,hip hop
37i9dQZF1DWVdgXTbYm2r0,Hip-Hop Mixtape,rap,hip hop
37i9dQZF1DXdhDukKQ88Cc,DK rap,rap,hip hop
37i9dQZF1DWTIuAboZgTMf,This Is Logic,rap,hip hop
