track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6f807x0ima9a1j3VPbc7VN,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036
0r7CVbZTWZgbTCYdfa2P31,0.726,0.815,11,-4.968999999999999,1,0.0373,0.0724,0.00421,0.357,0.693,99.972
1z1Hg7Vb0AhHDiEmnDE79l,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008
75FpbthrwQmzHlBJLuGdC7,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.2769999999999999,121.956
1e8PAfcKUYoKkxPhrHqw4x,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976
7fvUMiyapMsRRxr07cU8Ef,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982
2OAylPUDDfwRGfe0lYqlCQ,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648
6b1RNvAcJjQH73eZO4BLAB,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936
7bF6tCO3gFb8INrEDcjNT5,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015
1IXGILkPm0tOCNeq00kCPa,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957
3eFJI470ALf1EYjywPRsJy,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984
3iJeF2izF1QcpCgUc97BLl,0.437,0.774,8,-4.918,1,0.0554,0.148,0.0,0.133,0.3289999999999999,123.125
6e0CvGZf7CouOpYF8toXHC,0.7440000000000001,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985
3eLdNmnRWr9gIyBcqTSSti,0.5720000000000001,0.915,5,-4.4510000000000005,0,0.0625,0.0111,0.0,0.3389999999999999,0.6779999999999999,123.919
55nMnifaQWKe3f9cbwOXwx,0.69,0.78,5,-4.446000000000001,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07
1EJgymgJHcjSOGSHcYaxvW,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028
5WaXMQMlQpq8pwIdaFP43L,0.6940000000000001,0.901,1,-4.322,0,0.0948,0.0702,0.0,0.427,0.368,118.051
3TjLsDgL0bTbSQIF6M5Ki8,0.6779999999999999,0.747,10,-5.289,0,0.165,0.0395,0.0,0.174,0.516,120.002
0GfS3y8Jd7SHWd9R51s7Fo,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961
2v3DuCVBbopteJqdM7aKQK,0.467,0.821,7,-5.466,1,0.0934,0.0079099999999999,0.000441,0.131,0.2319999999999999,122.676
4QAUGy6k7c3IOAhgWz52r7,0.5720000000000001,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948
3Ciaf6WgvG95TGRGxQ1yO8,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.7070000000000001,135.016
1mC2UjWt25Oixtqu7C6suL,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938
2wenGTypSYHXl1sN1pNC7X,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024
4sqABRRGU7CzcHXCyxUzFw,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018
5dy3WUywjZcalTno1io8TQ,0.675,0.76,11,-7.037000000000001,1,0.0434,0.104,0.0,0.33,0.4679999999999999,124.933
2M9GeaCQXrV12J0wzBxIwi,0.682,0.851,1,-7.117000000000001,0,0.0363,0.0146,0.000834,0.0289,0.348,126.0
1zzOMDmkRZy0g9f4JTAZKn,0.6629999999999999,0.905,1,-3.781,0,0.0511,0.0325,0.0,0.3329999999999999,0.397,125.996
4OFFY6L5ywYM1TwhXX69wQ,0.625,0.938,6,-3.983,1,0.0517,0.00432,0.00026,0.0923,0.371,127.997
1hr5Y2i4NlE3LPvQZ9Q5Ao,0.679,0.909,1,-2.929,1,0.105,0.0334,0.0,0.2689999999999999,0.8190000000000001,119.885
1aT7vltGhkjyMI3F3aO3A4,0.6409999999999999,0.8690000000000001,11,-4.754,1,0.0423,0.0319,0.00131,0.4029999999999999,0.358,128.091
